BNL_barcode,Sample_date,Location,Species,C_pc,H_pc,N_pc,C:N,Molar Ratio,C _mg_gDW-1,H_mg_gDW-1,N_mg_gDW-1,C_g_m-2,H_g_m-2,N_g_m-2,Gasex_type,Canopy_position,LMA_g_m-2,SLA_cm2_g,H20_pc
BNL11289,2016-03-12,PA-BCI,INGAPE,52.82,6.32,2.14,24.68,28.78,528.2,63.2,21.4,44.36,5.31,1.80,Diurnal 1,sunlit,83.98,119.07,54.27
BNL11292,2016-03-12,PA-BCI,ALSEBL,48.12,60.3,2.42,19.88,23.19,481.2,603,24.2,32.38,40.58,1.63,Diurnal 1,sunlit,67.30,148.59,63.88
BNL11305,2016-03-15,PA-PNM,CORDAL,42.75,5.52,2.52,16.96,19.78,427.5,55.2,25.2,40.83,5.27,2.41,ACi,sunlit,95.51,104.70,49.85
BNL11316,2016-03-14,PA-PNM,CASTEL,45.37,5.33,2.2,20.62,24.05,453.7,53.3,22,42.39,4.98,2.06,ACi,sunlit,93.42,107.04,64.59
BNL11350,2016-03-15,PA-PNM,ALBIAD,49.8,6.81,4.15,12.00,13.99,498,68.1,41.5,31.19,4.27,2.60,ACi,sunlit,62.63,159.67,46.07
BNL11351,2016-03-15,PA-PNM,LUEHSE,49.23,6.09,1.93,25.51,29.75,492.3,60.9,19.3,80.41,9.95,3.15,ACi,sunlit,163.33,61.23,51.56
BNL11380,2016-03-15,PA-PNM,CAL2CA,47.53,5.79,1.56,30.47,35.53,475.3,57.9,15.6,35.08,4.27,1.15,ACi,sunlit,73.81,135.48,60.39
BNL11381,2016-03-15,PA-PNM,CORDAL,39.38,5.01,1.89,20.84,24.30,393.8,50.1,18.9,31.77,4.04,1.52,ACi,sunlit,80.69,123.94,49.32
BNL11397,2016-03-15,PA-PNM,CAL2CA,49.41,6.31,1.97,25.08,29.25,494.1,63.1,19.7,39.82,5.09,1.59,ACi,sunlit,80.59,124.08,54.31
BNL11414,2016-03-14,PA-PNM,ALBIAD,51.54,6.77,2.86,18.02,21.02,515.4,67.7,28.6,36.75,4.83,2.04,Diurnal 5,sunlit,71.29,140.26,58.19
BNL11436,2016-03-15,PA-PNM,ALBIAD,50,6.31,4.13,12.11,14.12,500,63.1,41.3,35.16,4.44,2.90,ACi,sunlit,70.33,142.19,54.77
BNL11444,2016-03-14,PA-PNM,ANTITR,50.01,6.01,1.43,34.97,40.78,500.1,60.1,14.3,46.79,5.62,1.34,ACi,sunlit,93.57,106.88,50.10
