PlotName,ForestPlotsCode,Subplot,PlotCensusNumber,CensusDate,TagNumber,HPOM_m,D_POM_cm,Height_m,Alive_1_Dead_0_At2015Census,Comments,Family,Genus,SpeciesName,GenusSpecies,SpeciesIDsource,Group,WoodDensity,CrownProjection_Area_m2_in2016,X_m,Y_m,GirdlingDeathDate,Time_since_Girdle,Survived,Biomass_kgPerStem,Carbon_kgCperStem
Tower,SAF-05,17,4,04/08/2015 00:00,230,1.7,20.1,11,1,NA,Sapindaceae,Pometia,pinnata,Pometia pinnata,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.6525,23.466,567807.879,521265.569,07/02/2017 00:00,370,0,147.5988923,70.40467165
Tower,SAF-05,17,4,04/08/2015 00:00,231,2,28.5,10.1,1,NA,Sapindaceae,Nephelium,rambutan,Nephelium rambutan,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.72,49.504,567810.053,521269.97,,,1,300.6501138,143.4101043
Tower,SAF-05,17,4,04/08/2015 00:00,232,1.3,17.1,7.9,1,NA,Meliaceae,Dysoxylum,cyrtobotryum,Dysoxylum cyrtobotryum,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.587397475,29.091,567804.2,521273.092,,,1,69.06677373,32.94485107
Tower,SAF-05,17,4,04/08/2015 00:00,233,1.3,17.8,8,1,NA,Lauraceae,NA,NA,NA,"Collected by SAFE Carbon Team 2014, identified by Bernadus Bala Ola (Mike) 2017",other,0.492011217,4.318,567797.906,521270.198,07/02/2017 00:00,370,0,63.4779332,30.27897414
Tower,SAF-05,17,4,04/08/2015 00:00,234,0,0,0,0,NA,NA,NA,NA,NA,NA,DEAD,0.499120331,,,,,,0,0,0
Tower,SAF-05,17,4,04/08/2015 00:00,235,1.3,33.5,15.1,1,NA,Malvaceae,Brownlowia,peltata,Brownlowia peltata,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.47,35.907,567797.522,521256.325,,,1,405.3985599,193.3751131
Tower,SAF-05,17,4,04/08/2015 00:00,236,1.3,12.2,9.3,1,tag lost,Dipterocarpaceae,Dipterocarpus,kunstleri,Dipterocarpus kunstleri,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",Dipterocarp,0.6,5.773,567796.955,521256.207,20/09/2016 00:00,230,0,42.27383448,20.16461905
Tower,SAF-05,17,4,04/08/2015 00:00,237,0,0,0,0,Dead,Dipterocarpaceae,Parashorea,malaanonan,Parashorea malaanonan,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2012-2014, earliest IDs",DEAD,0.415,,,,,,0,0,0
Tower,SAF-05,17,4,04/08/2015 00:00,238,1.3,13.7,10,1,NA,Malvaceae,Brownlowia,peltata,Brownlowia peltata,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.47,22.461,567794.971,521256.742,07/02/2017 00:00,370,0,44.9010787,21.41781454
Tower,SAF-05,17,4,04/08/2015 00:00,239,1.3,22.5,17.1,1,NA,Dipterocarpaceae,Dryobalanops,lanceolata,Dryobalanops lanceolata,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",Dipterocarp,0.62,14.122,567794.709,521256.608,07/11/2016 00:00,278,0,273.1936613,130.3133764
