Campaign,Tree_tag,repeat,date,code branch,leaf,code leaf,leaf fresh weight,dry weight,Leaf_2018,Leaf area,LMA,resp,photo,day,month,monthday_code,SampleID
'C1',239,1,20-janv-16,'C1_239_1',L4,C1_239_1_L4,1.71,0.781,'T',67.87563626,115.0633781,-0.990266733,1.571472686,20,1,JAN20,T239_JAN20_L4
'C1',239,1,20-janv-16,'C1_239_1',L5,C1_239_1_L5,1.66,0.685,'T',78.05447792,87.75921872,-0.386141237,NaN,20,1,JAN20,T239_JAN20_L5
'C1',246,2,20-janv-16,'C1_246_2',L1,C1_246_2_L1,7.25,3.273,'T',429.0224928,76.28970637,NaN,NaN,20,1,JAN20,T246_JAN20_L1
'C1',246,2,20-janv-16,'C1_246_2',L2,C1_246_2_L2,7.23,3.152,'T',426.1183794,73.9700551,NaN,NaN,20,1,JAN20,T246_JAN20_L2
'C1',246,2,20-janv-16,'C1_246_2',L3,C1_246_2_L3,7.03,3.191,'T',524.1511212,60.879389,NaN,NaN,20,1,JAN20,T246_JAN20_L3
'C1',246,2,20-janv-16,'C1_246_2',L4,C1_246_2_L4,8.94,3.583,'T',537.5876324,66.64959876,NaN,NaN,20,1,JAN20,T246_JAN20_L4
'C1',246,2,20-janv-16,'C1_246_2',L5,C1_246_2_L5,8.1,3.265,'T',475.9546705,68.59896966,NaN,0.630878731,20,1,JAN20,T246_JAN20_L5
'C1',327,1,20-janv-16,'C1_327_1',L1,C1_327_1_L1,1.31,0.683,'T',55.95700922,122.0579887,-0.723976557,3.317177112,20,1,JAN20,T327_JAN20_L1
'C1',327,1,20-janv-16,'C1_327_1',L2,C1_327_1_L2,1.53,0.769,'T',49.29378181,156.0034495,-0.693788332,0.96290096,20,1,JAN20,T327_JAN20_L2
'C1',327,1,20-janv-16,'C1_327_1',L3,C1_327_1_L3,1.81,0.847,'T',54.45749071,155.5341587,-0.834322365,2.241109044,20,1,JAN20,T327_JAN20_L3
'C1',327,1,20-janv-16,'C1_327_1',L4,C1_327_1_L4,1.69,0.854,'T',59.27589765,144.0720485,-0.887787617,5.217267401,20,1,JAN20,T327_JAN20_L4
'C1',327,1,20-janv-16,'C1_327_1',L5,C1_327_1_L5,1.95,1.025,'T',66.04299078,155.2019356,-1.097679676,6.384885859,20,1,JAN20,T327_JAN20_L5
'C1',345,1,20-janv-16,'C1_345_1',L1,C1_345_1_L1,10.92,4.288,'T',667.4837667,64.24126269,-1.04653898,14.07924911,20,1,JAN20,T345_JAN20_L1
'C1',345,1,20-janv-16,'C1_345_1',L2,C1_345_1_L2,11.88,4.603,'T',731.4224102,62.93217074,-1.403669108,8.08264303,20,1,JAN20,T345_JAN20_L2
'C1',345,1,20-janv-16,'C1_345_1',L3,C1_345_1_L3,8.74,3.541,'T',484.520498,73.08256337,-1.157401485,4.762416627,20,1,JAN20,T345_JAN20_L3
'C1',345,1,20-janv-16,'C1_345_1',L4,C1_345_1_L4,8.68,3.517,'T',536.0915532,65.60446586,-1.463401251,2.732512999,20,1,JAN20,T345_JAN20_L4
'C1',345,1,20-janv-16,'C1_345_1',L5,C1_345_1_L5,11.48,3.356,'T',682.5498006,49.16857344,NaN,1.201729055,20,1,JAN20,T345_JAN20_L5
'C1',375,2,20-janv-16,'C1_375_2',L1,C1_375_2_L1,2.13,0.624,'T',71.10077039,87.76276214,-0.478798771,0.774923167,20,1,JAN20,T375_JAN20_L1
'C1',375,2,20-janv-16,'C1_375_2',L2,C1_375_2_L2,4.41,0.986,'T',133.8198514,73.68114593,NaN,0.773562204,20,1,JAN20,T375_JAN20_L2
'C1',375,2,20-janv-16,'C1_375_2',L3,C1_375_2_L3,3.19,1.116,'T',96.5382446,115.6018534,-0.994511074,0.748067492,20,1,JAN20,T375_JAN20_L3
'C1',375,2,20-janv-16,'C1_375_2',L4,C1_375_2_L4,3.68,1.382,'T',115.2872472,119.8744903,NaN,1.086725628,20,1,JAN20,T375_JAN20_L4
'C1',375,2,20-janv-16,'C1_375_2',L5,C1_375_2_L5,2.59,0.954,'T',77.22403357,123.5366706,NaN,NaN,20,1,JAN20,T375_JAN20_L5
'C1',42,1,21-janv-16,'C1_42_1',L1,C1_42_1_L1,3.41,1.553,'T',133.6033842,116.2395705,-0.100625636,NaN,21,1,JAN21,T42_JAN21_L1
'C1',42,1,21-janv-16,'C1_42_1',L2,C1_42_1_L2,3.48,1.604,'T',134.7656486,119.0214284,-1.373140859,NaN,21,1,JAN21,T42_JAN21_L2
'C1',42,1,21-janv-16,'C1_42_1',L3,C1_42_1_L3,3.57,1.709,'T',148.6439675,114.9727115,-0.792482567,0.598284171,21,1,JAN21,T42_JAN21_L3
'C1',42,1,21-janv-16,'C1_42_1',L4,C1_42_1_L4,4.14,1.989,'T',175.6529784,113.2346299,-1.315016378,1.359249837,21,1,JAN21,T42_JAN21_L4
'C1',42,1,21-janv-16,'C1_42_1',L5,C1_42_1_L5,1.98,0.941,'T',NaN,NaN,-1.240035601,NaN,21,1,JAN21,T42_JAN21_L5
'C1',1,1,21-janv-16,'C1_1_1',L1,C1_1_1_L1,4.81,1.609,'T',192.6395231,83.52387788,-0.743654636,10.58971075,21,1,JAN21,T1_JAN21_L1
'C1',1,1,21-janv-16,'C1_1_1',L2,C1_1_1_L2,5.25,1.846,'T',221.7534481,83.24560523,-1.441014981,6.381605171,21,1,JAN21,T1_JAN21_L2
'C1',1,1,21-janv-16,'C1_1_1',L3,C1_1_1_L3,5.08,1.732,'T',216.760851,79.90372765,-0.816318489,2.436942018,21,1,JAN21,T1_JAN21_L3
'C1',1,1,21-janv-16,'C1_1_1',L4,C1_1_1_L4,3.8,1.357,'T',151.4690252,89.589274,NaN,12.10764611,21,1,JAN21,T1_JAN21_L4
'C1',1,1,21-janv-16,'C1_1_1',L5,C1_1_1_L5,5.39,1.905,'T',230.725,82.56582512,-0.496723665,8.687696019,21,1,JAN21,T1_JAN21_L5
'C1',8,1,21-janv-16,'C1_8_1',L1,C1_8_1_L1,1.5,0.543,'T',56.05489063,96.86933538,-1.192615925,4.924680821,21,1,JAN21,T8_JAN21_L1
'C1',8,1,21-janv-16,'C1_8_1',L2,C1_8_1_L2,1.25,0.466,'T',49.22637227,94.66470481,-1.098647174,2.890639079,21,1,JAN21,T8_JAN21_L2
'C1',8,1,21-janv-16,'C1_8_1',L3,C1_8_1_L3,1.44,0.45,'T',61.4426331,73.23904873,-1.217704923,1.989622711,21,1,JAN21,T8_JAN21_L3
'C1',8,1,21-janv-16,'C1_8_1',L4,C1_8_1_L4,1.14,0.363,'T',49.29309396,73.64114744,-1.026661084,1.695605496,21,1,JAN21,T8_JAN21_L4
'C1',8,1,21-janv-16,'C1_8_1',L5,C1_8_1_L5,1.07,0.372,'T',NaN,NaN,-1.015946661,4.924771059,21,1,JAN21,T8_JAN21_L5
'C1',156,1,21-janv-16,'C1_156_1',L1,C1_156_1_L1,3,1.484,'T',133.6695239,111.0200707,NaN,6.592009394,21,1,JAN21,T156_JAN21_L1
'C1',156,1,21-janv-16,'C1_156_1',L2,C1_156_1_L2,3.07,1.613,'T',133.4186083,120.8976784,NaN,3.909448784,21,1,JAN21,T156_JAN21_L2
'C1',156,1,21-janv-16,'C1_156_1',L3,C1_156_1_L3,3.59,1.774,'T',147.5767163,120.2086647,NaN,4.1988194,21,1,JAN21,T156_JAN21_L3
'C1',156,1,21-janv-16,'C1_156_1',L4,C1_156_1_L4,4.2,2.064,'T',172.6230811,119.5668613,NaN,5.178824144,21,1,JAN21,T156_JAN21_L4
'C1',156,1,21-janv-16,'C1_156_1',L5,C1_156_1_L5,4.29,2.053,'T',189.0440271,108.5990407,NaN,2.437294175,21,1,JAN21,T156_JAN21_L5
'C1',56,1,21-janv-16,'C1_56_1',L1,C1_56_1_L1,3.5,1.641,'T',143.4902984,114.3631324,-1.084515535,10.35650756,21,1,JAN21,T56_JAN21_L1
'C1',56,1,21-janv-16,'C1_56_1',L2,C1_56_1_L2,4.01,1.836,'T',160.6304839,114.2995996,-1.059023951,10.85868572,21,1,JAN21,T56_JAN21_L2
'C1',56,1,21-janv-16,'C1_56_1',L3,C1_56_1_L3,4.53,1.741,'T',187.0787033,93.06243679,-1.120616103,1.639390031,21,1,JAN21,T56_JAN21_L3
'C1',56,1,21-janv-16,'C1_56_1',L4,C1_56_1_L4,2.55,1.104,'T',99.05485857,111.4533922,-1.303612022,12.34788417,21,1,JAN21,T56_JAN21_L4
'C1',56,1,21-janv-16,'C1_56_1',L5,C1_56_1_L5,2.83,1.264,'T',120.2393049,105.1236949,-0.727007967,3.244135724,21,1,JAN21,T56_JAN21_L5
'C1',119,1,21-janv-16,'C1_119_1',L1,C1_119_1_L1,1.36,0.674,'T',71.74324008,93.94613336,-1.059758571,NaN,21,1,JAN21,T119_JAN21_L1
