SampleID,date,TreeID,USDA_Code,Na,Ca,C_N,LMA,LDMC,T_Asat,Asat,Vcmax25,Vcmax,T_Rdark,Rdark25,Rdark
BNL19443,20210902,116,QURU,2124.215592,50659.01829,23.84834123,100.6737247,0.421774194,26.4509147,10.86815714,52.94030372,59.60313754,26.60299555,0.797820636,0.872634146
BNL19468,20210903,32,QUAL,1592.437784,39589.31665,24.86082474,82.08442183,0.48340081,27.00135,4.481420551,30.08121989,28.21508245,27.00445,1.286951404,1.387591936
BNL19469,20210903,94,QUAL,1282.771896,31231.56882,24.34693878,65.44754572,0.437426901,27.0028,5.66095902,35.85727452,33.6308419,27.00615,0.88349348,0.952643735
BNL19470,20210903,7,ACRU,1324.52533,37787.03299,28.52873563,76.12214542,0.478021978,27.00298333,7.638114512,44.01066673,46.51981035,27.00103333,1.076207688,1.139042354
BNL19471,20210903,119,QURU,1239.545236,30919.41771,24.94416244,62.92107796,0.448927039,26.44253254,8.70763429,39.89476321,44.88492764,26.62192345,1.253497003,1.372484325
BNL19472,20210903,118,BEAL2,1120.909528,23807.74783,21.23966942,46.31857555,0.469512195,26.99688333,8.938389429,33.37659267,40.20466043,26.99801667,1.116146232,1.19348745
BNL19473,20210903,118,BEAL2,1065.041172,22726.89552,21.33898305,45.12886322,0.439583333,26.99811667,8.785909284,31.35820168,37.77768955,27.00511667,1.090581066,1.166426608
BNL19474,20210903,119,QURU,1421.154957,35550.29836,25.01507538,71.41482194,0.496875,27.00828333,3.685743641,16.9907886,20.02064076,27.00491667,1.124095477,1.257260138
BNL19475,20210903,119,QURU,1256.945781,31045.94161,24.69950739,61.91851139,0.461722488,26.63311704,7.62133633,34.00100758,38.85520215,26.59800212,0.938704996,1.026444455
BNL19500,20210904,122,BEAL2,1303.002887,25885.64004,19.86614173,51.29932628,0.42983871,27.00496667,11.54622871,47.47073389,57.2251609,27.00131667,0.731069083,0.781813048
BNL19501,20210904,120,ACRU,1258.960539,38185.98653,30.33136095,74.49470645,0.437288136,26.99703333,8.094575122,38.00532792,40.16548889,26.9965,0.776201829,0.821415674
BNL19502,20210904,120,ACRU,1378.431184,36007.14148,26.12182741,69.97112608,0.454375,26.99926667,6.999770777,34.20468283,36.15105258,27.00045,0.752397067,0.796312881
BNL19503,20210904,121,ACRU,1658.447808,48471.02984,29.22674419,96.4213842,0.522274882,26.5376056,3.322488824,16.84789671,17.58050997,NA,NA,NA
BNL19504,20210904,122,BEAL2,1459.164031,29819.47614,20.436,58.36656125,0.430964467,27.00096667,10.32948554,45.61443509,54.96696082,27.00433333,0.961249,1.028073191
BNL19505,20210904,NA,QURU,1346.531428,40904.99741,30.37804878,82.10557489,0.475965665,26.99466667,8.380118816,33.53615121,39.47255674,26.97455,1.133113313,1.265213158
BNL19506,20210904,NA,QURU,1747.834456,48273.99598,27.61931818,99.30877592,0.530373832,27.0054,12.32217999,54.14122594,63.78086099,26.99163333,1.301038855,1.454093093
BNL19533,20210905,66,QUAL,1758.937165,46597.57322,26.49189189,95.07768459,0.514126394,26.98566667,4.455738876,29.79582421,27.96505845,26.99393333,1.268208577,1.366846929
BNL19534,20210905,124,QURU,1243.808149,29184.85723,23.46411483,59.51235162,0.41452514,27.00146667,8.749220367,37.03447419,43.61432251,26.99601667,0.748914334,0.837220178
BNL19535,20210905,92,BEAL2,1172.733397,28055.82291,23.92344498,56.11164581,0.407692308,27.99693333,7.143989948,30.28372197,40.02452237,28.00518333,1.020730013,1.128569931
BNL19536,20210905,124,BEAL2,1566.241578,33937.42782,21.66806723,65.80846968,0.4376,27.99883333,13.61188976,52.4246805,69.29932083,27.99621667,1.007180467,1.113258543
BNL19537,20210905,70,QURU,1355.365736,37458.73436,27.63736264,74.47064485,0.460223048,26.99741667,7.501402056,34.83403058,41.00937922,27.00398333,0.882282958,0.986750495
BNL19562,20210914,33,ACRU,841.385948,21799.13378,25.90860215,45.23580366,0.366666667,27.00328333,6.981871554,33.44069866,35.34751852,26.99948333,0.474406189,0.502082596
BNL19563,20210914,33,ACRU,901.5506363,25166.58111,27.91477273,51.22446797,0.395867769,27.00378333,6.769177709,32.15668721,33.99076121,26.99055,0.434047997,0.45925436
BNL19564,20210914,128,ACRU,1446.976988,37736.24114,26.07936508,76.55962901,0.455729167,27.00121667,10.93010461,53.60657904,56.66004001,26.9989,0.99156345,1.049393077
BNL19565,20210914,128,ACRU,1278.335812,32759.83901,25.62694301,66.23501619,0.398421053,26.36842823,9.061215216,46.81810447,48.62522778,26.52230676,0.726288727,0.758380687
BNL19566,20210914,129,QURU,2304.757322,45846.23264,19.892,92.19029286,0.467247387,27.50803333,1.332675918,5.416389127,6.647352563,27.49928333,1.383427904,1.590259056
BNL19567,20210914,33,ACRU,1308.334937,33873.60924,25.890625,68.14244466,0.4425,26.99648333,7.905820475,42.48026896,44.89409587,26.99688333,0.616625221,0.652550758
BNL19568,20210914,53,BEAL2,1731.74206,34538.6333,19.94444444,68.719923,0.502816901,27.00415,13.42934599,51.14797546,61.65332751,27.00115,1.254208801,1.341256776
BNL19569,20210914,53,BEAL2,1485.563041,33349.23965,22.44888889,66.02502406,0.49,26.39100361,9.439739462,39.05746211,44.46337678,26.54268964,1.396694826,1.470962392
BNL19596,20210915,131,QURU,1754.788258,36406.20789,20.74678112,75.31280077,0.445023697,27.49605,0.666408575,3.623852413,3.328733806,27.50256667,0.848311189,0.931779625
