ID,Year,Fertilisation,Season,Site,Plot,Tree,Branch,Rep,Family,Genus,Species,Vcmax,Jmax,Rd,Vcmax_TPU,Jmax_TPU,TPU,CCI,SLA,C,N,P,K,Ca,Mg,Mn,S,Na,V,Sr,As,Cd,Cr,Cu,Fe,Pb,Zn,Mo,CII,Height,Remark_Height/CII
(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(/),(cm² g-1),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(/),(m),(/)
2019_wet_NOU-T4_250D1,2019,C,wet,NOU,T4,250,D,1,Chrysobalanaceae,Licania,alba,19.684,49.632,0.755,NA,NA,NA,72.83333333,65.21783741,49.66691208,1.338058233,0.039358601,0.306931665,0.204675711,0.173910466,0.004935176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,25,
2019_wet_NOU-T4_250T3,2019,C,wet,NOU,T4,250,T,3,Chrysobalanaceae,Licania,alba,16.976,48.974,0.791,NA,NA,NA,85.86666667,52.03586957,49.20766068,1.240684032,0.035974304,0.348945141,0.119353813,0.142685636,0.002426388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,35,
2019_wet_NOU-T4_250T2,2019,C,wet,NOU,T4,250,T,2,Chrysobalanaceae,Licania,alba,21.273,62.793,0.791,21.142,62.904,5.253,67.23333333,57.81466395,47.1804924,1.177864552,0.036451613,0.431993078,0.152382671,0.138955462,0.002837614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,35,
2019_wet_NOU-T4_250T1,2019,C,wet,NOU,T4,250,T,1,Chrysobalanaceae,Licania,alba,12.298,41.693,0.791,NA,NA,NA,69.76666667,56.25058548,49.17435837,0.997010767,0.036018851,0.390571335,0.304327323,0.196593803,0.004139878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,35,
2019_wet_NOU-B2_93T1,2019,NP,wet,NOU,B2,93,T,1,Chrysobalanaceae,Licania,alba,14.71,43.64,0.6,NA,NA,NA,52.66666667,56.71568627,48.73316956,1.206143975,0.031117941,0.405394643,0.147700753,0.207742762,0.002868646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,31,many lianas
2019_wet_NOU-B2_93T2,2019,NP,wet,NOU,B2,93,T,2,Chrysobalanaceae,Licania,alba,17.058,47.967,0.6,16.894,48.17,4.113,66.7,52.83297297,48.59512711,1.309120417,0.034466912,0.381580888,0.202158391,0.215453872,0.003910506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,31,many lianas
2019_wet_NOU-B2_93T3,2019,NP,wet,NOU,B2,93,T,3,Chrysobalanaceae,Licania,alba,5.635,20.05,0.6,NA,NA,NA,61.03333333,60.50930954,49.40673828,1.429494381,0.035740672,0.533745833,0.139314499,0.175831702,0.002732354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,31,many lianas
2019_wet_NOU-B2_93D1,2019,NP,wet,NOU,B2,93,D,1,Chrysobalanaceae,Licania,alba,12.767,28.707,0.601,NA,NA,NA,56.43333333,67.10010593,48.38058853,1.237736702,0.041156731,0.5532705,0.162865617,0.162108956,0.002976959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,26,many lianas
2019_wet_NOU-B2_93D2,2019,NP,wet,NOU,B2,93,D,2,Chrysobalanaceae,Licania,alba,3.85,16.493,0.601,NA,NA,NA,41.63333333,77.97268908,48.89176559,1.137159944,0.040712468,0.673530587,0.15053018,0.18536414,0.00301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,26,many lianas
2019_wet_NOU-B2_93D3,2019,NP,wet,NOU,B2,93,D,3,Chrysobalanaceae,Licania,alba,2.57,13.752,0.601,NA,NA,NA,55.5,69.44530699,47.79985809,1.247821093,0.037134284,0.648059336,0.157886812,0.183824375,0.002915859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,26,many lianas
